
 id 	name 	crosscomb 	orig 	year 	breeder c id 	name 	crosscomb 	orig 	year 	breeder code 	breeder 	reference
236 	 find progeny of 1256A(23)       1256A(23) 	CRAIGS DEFIANCE x 998A(18) 	 GB 			SCOTTISH PLANT BREEDING STATION 	see BLACK 1256
237 	 find progeny of 1256C(7)       1256C(7) 	CRAIGS DEFIANCE x 998A(18) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
238 	 find progeny of 1257A(7)       1257A(7) 	DI VERNON x 997A(51) 	 GB 			SCOTTISH PLANT BREEDING STATION 	see BLACK 1257
391 	 find progeny of 12601AB(1)       12601AB(1) 	10886(10) x 10899AD(15) 	 GB 			SCRI 	
392 	 find progeny of 12674AB(1)       12674AB(1) 	10915AB(10) x 10950AB(2) 	 GB 			SCRI 	
393 	 find progeny of 12721AE(14)       12721AE(14) 	MARIS PEER x 3146A(3) 	 GB 			SCRI 	
129 	 find progeny of 128-6       128-6 	15C-31 x BEREZKA 	 SU 				
239 	 find progeny of 1288-5       1288-5 	723-2 x KATAHDIN 	 CAN 				
394 	 find progeny of 13030       13030 	PI 347773 (adg) dihaploid 	 USA 				
240 	 find progeny of 1306A(2)       1306A(2) 	1104A(3) x 1104A(3) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
241 	 find progeny of 1310B(1)       1310B(1) 	998A(18) x CPC 23 (slm) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
242 	 find progeny of 1318(3)       1318(3) 	CRAIGS DEFIANCE x 877A(34) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
243 	 find progeny of 1333       1333 	PARNASSIA x HINDENBURG 	 CAN 				
395 	 find progeny of 13409.5       13409.5 	12021.17 x ANCO 	 SU 				
244 	 find progeny of 1345/77/2565       1345/77/2565 	162/71/1914 x SEMLO 	 BRD 		BM 1345-77 	KARTOFFELZUCHT BOHM 	
130 	 find progeny of 135/3       135/3 	674/23 x GUSTO 	 BRD 				
245 	 find progeny of 1379/63/1626 UL       1379/63/1626 UL 	MPI 56.993/52 x 175/59/S20T 	 BRD 			KARTOFFELZUCHT BOHM 	
9250 	 find progeny of 1391,02       1391,02 	SALAMI x MPI 71.241/50 	 BRD 				
40 	 find progeny of 13T48       13T48 	phu-hybrid 	 GB 				
246 	 find progeny of 1441-8       1441-8 	1242-6 x KATAHDIN 	 CAN 				
247 	 find progeny of 1454C       1454C 	1310B(1) x 910A(123) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
248 	 find progeny of 1463,1       1463,1 	PENTLAND METEOR x KATAHDIN 	 NZL 			NEW ZEALAND INSTITUTE FOR CROP & FOOD RESEARCH LIMITED 	
249 	 find progeny of 1464-26       1464-26 	1250-107 x KATAHDIN 	 CAN 				
131 	 find progeny of 147-5       147-5 	125-3 x KAMERAZ 	 SU 				
132 	 find progeny of 150-2       150-2 	((dms x EARLAINE) x KATAHDIN) x KATAHDIN 	 CAN 				
133 	 find progeny of 150.91.1       150.91.1 	ROSEVAL x CARMINE 	 FRA 			GROCEP 	
396 	 find progeny of 15005A(2)       15005A(2) 	CARA x 11300AB(5) 	 GB 			SCRI 	
250 	 find progeny of 1505/70       1505/70 	904/61 x FUGA 	 BRD 				
251 	 find progeny of 1506B(9)       1506B(9) 	CRAIGS SNOW WHITE x 1104C(2) 	 GB 				
397 	 find progeny of 15119AC(5)       15119AC(5) 	10300(13) x CARA 	 GB 			SCRI 	
252 	 find progeny of 1512C(16)       1512C(16) 	882(5) x 834C(29) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
398 	 find progeny of 15205AB(6)       15205AB(6) 	10341AB(18) x CARA 	 GB 			SCRI 	
253 	 find progeny of 1531(3)       1531(3) 	993A(1) x 1104C(2) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
399 	 find progeny of 15335.9       15335.9 	13409.5 x SPEKULA 	 SU 				
254 	 find progeny of 1560-60       1560-60 	1952-47 x 370-57 	 SU 				
400 	 find progeny of 15709KS       15709KS 	VIR ?-695 x AGRA 	 SU 				
255 	 find progeny of 1576-72       1576-72 	1624-65 x 417-66 	 SU 				
256 	 find progeny of 1584C(10)       1584C(10) 	MAUD MEG x 1104C(2) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
257 	 find progeny of 1592C(11)       1592C(11) 	1306A(2) x 791A(116) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
41 	 find progeny of 15C-11       15C-11 	189Y-56 x AGRONOMITSJESKY 	 SU 				
42 	 find progeny of 15C-31       15C-31 	189Y-56 x AGRONOMITSJESKY 	 SU 				
43 	 find progeny of 16/22       16/22 	CPC 1690-22 synonym 	  				
134 	 find progeny of 162-1       162-1 	22-8 x KATAHDIN 	 CAN 				
258 	 find progeny of 1624-65       1624-65 	32-56 x SULEV 	 SU 				
259 	 find progeny of 1629/52       1629/52 	MPI 44.228/20 x KATAHDIN 	 BRD 				
135 	 find progeny of 163/55       163/55 	VORAN x AQUILA x 49 H 	 AUT 				
260 	 find progeny of 1649.9       1649.9 	S. kesselbrenneri hybrid 	 SU 				
261 	 find progeny of 1682C(1)       1682C(1) 	PENTLAND ACE x 1318(3) 	 GB 				
262 	 find progeny of 1686B(4)       1686B(4) 	1256C(7) x 1531(3) 	 GB 				
136 	 find progeny of 169(15)       169(15) 	CRAMOND BLOSSOM x 11(13) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
263 	 find progeny of 1724-34       1724-34 	dms hybrid 	 SU 				
137 	 find progeny of 172M-7       172M-7 	33E-70 x KAMERAZ 	 SU 				
138 	 find progeny of 174M-156       174M-156 	33-29 x KAMERAZ 	 SU 				
139 	 find progeny of 175(5)       175(5) 	BRITISH QUEEN x 11(13) 	 GB 			SCOTTISH PLANT BREEDING STATION 	
140 	 find progeny of 177/38       177/38 	341633 x P. 342 	 POL 				
264 	 find progeny of 1830       1830 	EARLY ROSE mutant 	 SU 				
265 	 find progeny of 1834-20       1834-20 	dms hybrid 	 SU 				
266 	 find progeny of 1884/78       1884/78 	VEVI x 9022/75 	 BRD 				
141 	 find progeny of 189-2       189-2 	47-6 x KATAHDIN 	 CAN 				
142 	 find progeny of 189Y-56       189Y-56 	sto-hybrid 	 SU 				
401 	 find progeny of 19044       19044 	CAPELLA x AQUILA 	 POL 				
402 	 find progeny of 19169       19169 	JOHANNA x BRA 9089 	 POL 				
143 	 find progeny of 195/72       195/72 	67/71 x IRMGARD 	 BRD 				
267 	 find progeny of 1952-47       1952-47 	77-41 x FALKE 	 SU 				
268 	 find progeny of 1968-49       1968-49 	KALEV x 698-44 	 SU 				
12 	 find progeny of 2-402       2-402 	KATAHDIN x SNOWFLAKE 	 AUS 				
7 	 find progeny of 2-66.4341       2-66.4341 	LI. 4786/56 x AXILIA 	 DDR 				
8 	 find progeny of 2-70.4154 N       2-70.4154 N 	FRUKA x AGM 63.4230/15 	 DDR 				
10 	 find progeny of 2-71.4243 N       2-71.4243 N 	940/62 N x 51.33/63 	 DDR 				
